"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-M04"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.NPL.M","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Nepal","Monthly","Millions","","","","","","","","","","","","730.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.AFG.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Afghanistan, Islamic Republic of","Monthly","Millions","","","","","","","3100.0","","","","","","","","","","","","","","","3768.0","","1377.0","","","","","","","","2949.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.MMR.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Monthly","Millions","","","","1936.0","","","","","","","","5892.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.MMR.A","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Annual","Millions","7828.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.BTN.A","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Bhutan","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.BTN.A","OBS_VALUE","Maldives","Trade balance goods, US dollar","Bhutan","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.MMR.A","OBS_VALUE","Maldives","Trade balance goods, US dollar","Myanmar","Annual","Millions","-7828.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.MMR.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Myanmar","Quarterly","Millions","","-1936.0","","","","","","","","-5892.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.NPL.Q","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Nepal","Quarterly","Millions","","","","","","","","","","730.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.MMR.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Myanmar","Monthly","Millions","","","","-1936.0","","","","","","","","-5892.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.NPL.A","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Nepal","Annual","Millions","730.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.LKA.M","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Sri Lanka","Monthly","Millions","","","","","","","","448.0","57.0","","","127.0","41.0","","610.0","","","","","","","63.0","","","180.0","","","110.0","","","","115.0","","","","","","","","","","","","","","","","","","","","","","","","","","7407.0","3656.0","","","","8506.0","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.LKA.M","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Monthly","Millions","","","","","","","","","","","","","","","","28275.0","","","","","","","","","","","","","833829.0","","","","","","","","","2124.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.AFG.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Afghanistan, Islamic Republic of","Quarterly","Millions","","","","","","3100.0","","","","","","","","","","","","","3768.0","","","","1377.0","","","","","","","","2949.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.LKA.Q","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Sri Lanka","Quarterly","Millions","","","","","","505.0","","","","168.0","","","","610.0","","","","","63.0","","","","180.0","","","","110.0","","","","115.0","","","","","","","","","","","","","","","","","","","","","","","","","","11063.0","","","","8506.0","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.MDV.A","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Maldives","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.LKA.A","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Annual","Millions","28275.0","","","","","","","","","","","","","","","","","833829.0","","","","","","","","","","","","","","","","","2124.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.LKA.Q","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Quarterly","Millions","","","","","","","","","","","","","","28275.0","","","","","","","","","","","","","833829.0","","","","","","","","","2124.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.AFG.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Afghanistan, Islamic Republic of","Monthly","Millions","","","","","","","-3100.0","","","","","","","","","","","","","","","-3768.0","","-1377.0","","","","","","","","-2949.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.AFG.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Afghanistan, Islamic Republic of","Quarterly","Millions","","","","","","-3100.0","","","","","","","","","","","","","-3768.0","","","","-1377.0","","","","","","","","-2949.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.AFG.A","OBS_VALUE","Maldives","Trade balance goods, US dollar","Afghanistan, Islamic Republic of","Annual","Millions","-3100.0","","","","","","","","","","","","","","","","","-8094.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.AFG.A","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Afghanistan, Islamic Republic of","Annual","Millions","3100.0","","","","","","","","","","","","","","","","","8094.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
